id,topic1_id,topic1_score,topic2_id,topic2_score,topic3_id,topic3_score,topic4_id,topic4_score,topic5_id,topic5_score,topic6_id,topic6_score,topic7_id,topic7_score,topic8_id,topic8_score,topic9_id,topic9_score,topic10_id,topic10_score
if4a43c0caf,10151,0.9940292835235596,10526,0.0005837332573719323,11655,0.00032636348623782396,12689,0.0002666291256900877,12025,0.00018536511925049126,14065,0.00017462632968090475,10340,0.00014592398656532168,10981,0.0001206543602165766,10793,9.677243360783905e-05,10112,8.638424333184958e-05
ic78293c8b7,10142,0.1813468486070633,11450,0.15026943385601044,12423,0.12799856066703796,13295,0.11152952164411545,10639,0.07839205861091614,12490,0.04574151337146759,13286,0.02652878500521183,10126,0.02572484314441681,10906,0.02555702067911625,10430,0.017900696024298668
i491ab0c122,11615,0.3283584415912628,10040,0.22337882220745087,12772,0.1077808290719986,10046,0.0443684421479702,11110,0.03031129203736782,11394,0.025653736665844917,10541,0.01801517978310585,11236,0.013551860116422176,11081,0.010157098062336445,10244,0.009403065778315067
i8acda6fc17,12917,0.25381600856781006,10039,0.1841222494840622,10744,0.14280104637145996,13126,0.0716334730386734,13436,0.05053901672363281,13884,0.04350801929831505,14311,0.021684549748897552,13811,0.020695112645626068,10026,0.017715301364660263,10463,0.01662680320441723
i8c29f9ab39,11235,0.5941911339759827,10845,0.2110198736190796,10243,0.0605287030339241,10292,0.02176891826093197,10136,0.016081593930721283,10206,0.009590201079845428,11620,0.006101160775870085,11064,0.005151714663952589,11943,0.0038968115113675594,10261,0.0038218083791434765
i3db2be83c6,10096,0.9252007007598877,12613,0.015965450555086136,10612,0.010372305288910866,10578,0.006408567540347576,10353,0.002190881408751011,11809,0.0016903998330235481,12420,0.0011482704430818558,11419,0.0011390286963433027,11279,0.000959636818151921,12044,0.0009379344992339611
ic25ed3c40b,10049,0.327119916677475,12466,0.09569248557090759,11799,0.08992358297109604,11661,0.06666932255029678,12224,0.02235087938606739,14117,0.020834002643823624,10472,0.016721971333026886,10923,0.01652395725250244,10591,0.016489308327436447,12141,0.01533874124288559
i0c7175a239,10769,0.9308875203132629,10556,0.011766678653657436,13097,0.0063676852732896805,14065,0.004036341793835163,10183,0.003926071338355541,11369,0.0025185260456055403,12103,0.002258285414427519,11914,0.0014831993030384183,11361,0.0013050019042566419,14078,0.0010386597132310271
i40cface667,10165,0.44464874267578125,14170,0.0369003601372242,12076,0.025773776695132256,11463,0.02052345871925354,14451,0.015424476005136967,13887,0.014827024191617966,12632,0.013792590238153934,13859,0.012942724861204624,14131,0.012239362113177776,12266,0.009560237638652325
i673b993f57,12282,0.508137047290802,12157,0.15138238668441772,11401,0.042566247284412384,11852,0.02438262291252613,10640,0.020193248987197876,11073,0.019596323370933533,11923,0.015144424512982368,10770,0.01247341837733984,13065,0.008127796463668346,11837,0.00713384011760354
